title,link,phone,address,Latitude,Longitude
St. Matthew the Apostle (St. Louis),https://www.archstl.org/parish-directory/st-matthew-the-apostle-st-louis,314.531.6443,"2715 N. Sarah St., St. Louis, MO 63113-2940",38.658852,-90.232874
St. Matthias (Lemay),https://www.archstl.org/parish-directory/st-matthias-lemay,314.892.5109,"796 Buckley Rd., St. Louis, MO 63125-5348",38.511069,-90.309091
St. Maurus (Biehle),https://www.archstl.org/parish-directory/st-maurus-biehle,573.788.2330,"10198 Highway B, Perryville, MO 63775-5736",37.727156,-89.862749
St. Michael the Archangel (Shrewsbury),https://www.archstl.org/parish-directory/st-michael-the-archangel-shrewsbury,314.647.5611,"7622 Sutherland Ave., St. Louis, MO 63119-2895",38.59379,-90.328866
St. Monica (Creve Coeur),https://www.archstl.org/parish-directory/st-monica-creve-coeur,314.434.4211,"12136 Olive Blvd., St. Louis, MO 63141-6629",38.672052,-90.451677
St. Nicholas (St. Louis),https://www.archstl.org/parish-directory/st-nicholas-st-louis,314.231.2860,"701 N. 18th St., St. Louis, MO 63103-1727",38.634387,-90.205231
St. Norbert (Florissant),https://www.archstl.org/parish-directory/st-norbert-florissant,314.831.3874,"16455 New Halls Ferry Rd., Florissant, MO 63031-1199",38.839289,-90.319225
St. Patrick (Armagh),https://www.archstl.org/parish-directory/st-patrick-armagh,636.271.6038,"C/O 1107 Summit Dr., Catawissa, MO 63015-1404",38.404667,-90.780631
St. Patrick (Wentzville),https://www.archstl.org/parish-directory/st-patrick-wentzville,636.332.9225,"405 S. Church St., Wentzville, MO 63385-1606",38.808626,-90.855188
St. Paul (Berger),https://www.archstl.org/parish-directory/st-paul-berger,573.237.3372,"C/O 603 Miller St., New Haven, MO 63068-1116",38.558487,-91.247283
St. Paul (Fenton),https://www.archstl.org/parish-directory/st-paul-fenton,636.343.1234,"15 Forest Knoll Dr., Fenton, MO 63026-3105",38.516838,-90.448226
St. Paul (St. Paul),https://www.archstl.org/parish-directory/st-paul-st-paul,636.978.1900,"1223 Church Rd., O'Fallon, MO 63366-5105",38.862017,-90.74505
St. Peter (Kirkwood),https://www.archstl.org/parish-directory/st-peter-kirkwood,314.966.8600,"243 W. Argonne Dr., Kirkwood, MO 63122-4295",38.581557,-90.410224
St. Peter (St. Charles),https://www.archstl.org/parish-directory/st-peter-st-charles,636.946.6641,"221 First Capitol Dr., St. Charles, MO 63301-3413",38.779571,-90.484355
St. Pius V (St. Louis),https://www.archstl.org/parish-directory/st-pius-v-st-louis,314.772.1525,"3310 S. Grand Blvd., St. Louis, MO 63118-1089",38.596984,-90.242438
St. Raphael the Archangel (St. Louis),https://www.archstl.org/parish-directory/st-raphael-the-archangel-st-louis,314.352.8100,"6047 Bishops Pl., St. Louis, MO 63109-3398",38.57624,-90.301877
St. Raymond's Cathedral,https://www.archstl.org/parish-directory/st-raymonds-cathedral,314.621.0056,"931 Lebanon Drive, St. Louis, MO 63104",38.617743,-90.19952
St. Richard (Creve Coeur),https://www.archstl.org/parish-directory/st-richard-creve-coeur,314.432.6224,"11223 Schuetz Rd., St. Louis, MO 63146-4932",38.685296,-90.418127
St. Rita (Vinita Park),https://www.archstl.org/parish-directory/st-rita-vinita-park,314.428.4845,"8240 Washington St., St. Louis, MO 63114-6298",38.684414,-90.3351
St. Robert Bellarmine (St. Charles),https://www.archstl.org/parish-directory/st-robert-bellarmine-st-charles,636.946.6799,"1424 S. First Capitol Dr., St. Charles, MO 63303-3799",38.774273,-90.515622
St. Roch (St. Louis),https://www.archstl.org/parish-directory/st-roch-st-louis,314.721.6340,"6052 Waterman Blvd., St. Louis, MO 63112-1399",38.650217,-90.296382
St. Rose of Lima (DeSoto),https://www.archstl.org/parish-directory/st-rose-of-lima-desoto,636.337.2212,"504 S. Third St., Desoto, MO 63020-2097",38.13488,-90.557941
St. Rose of Lima (Silver Lake),https://www.archstl.org/parish-directory/st-rose-of-lima-silver-lake,573.547.4300,"c/o 1010 Rosati Ct., Perryville, MO 63775-2319",37.727156,-89.862749
St. Rose Philippine Duchesne (Florissant),https://www.archstl.org/parish-directory/st-rose-philippine-duchesne-florissant,314.837.3410,"1210 Paddock Dr., Florissant, MO 63033-3547",38.794443,-90.305888
St. Sabina (Florissant),https://www.archstl.org/parish-directory/st-sabina-florissant,314.837.1365,"1365 Harkee Dr., Florissant, MO 63031-3434",38.814277,-90.343168
St. Simon the Apostle (Green Park),https://www.archstl.org/parish-directory/st-simon-the-apostle-green-park,314.842.3848,"11011 Mueller Rd., St. Louis, MO 63123-6997",38.524192,-90.345827
St. Stephen (Richwoods),https://www.archstl.org/parish-directory/st-stephen-richwoods,573.678.2207,"11514 Highway A, P.O. Box 233, Richwoods, MO 63071-0233",38.16033,-90.82819
St. Stephen Protomartyr (St. Louis),https://www.archstl.org/parish-directory/st-stephen-protomartyr-st-louis,314.481.1133,"3949 Wilmington Ave., St. Louis, MO 63116-3291",38.569646,-90.262861
St. Theodore (Flint Hill),https://www.archstl.org/parish-directory/st-theodore-flint-hill,636.332.9269,"5085 Hwy P, Wentzville, MO 63385",38.79067,-90.852228
St. Vincent de Paul (Dutzow),https://www.archstl.org/parish-directory/st-vincent-de-paul-dutzow,636.433.2678,"13497 S. State Highway 94, Marthasville, MO 63357-2686",38.59278,-90.983629
St. Vincent de Paul (Perryville),https://www.archstl.org/parish-directory/st-vincent-de-paul-perryville,573.547.4300,"1010 Rosati Ct., Perryville, MO 63775-2319",37.724644,-89.875808
St. Vincent de Paul (St. Louis),https://www.archstl.org/parish-directory/st-vincent-de-paul-st-louis,314.231.9328,"1408 S. Tenth St., St. Louis, MO 63104-3725",38.612907,-90.201465
St. Wenceslaus (St. Louis),https://www.archstl.org/parish-directory/st-wenceslaus-st-louis,314.865.1020,"3014 Oregon Ave., St. Louis, MO 63118-1412",38.600673,-90.229452
Ste. Genevieve (Ste. Genevieve),https://www.archstl.org/parish-directory/ste-genevieve-ste-genevieve,573.883.2731,"20 N. Fourth St., Ste. Genevieve, MO 63670-1697",37.979658,-90.047575
Ste. Genevieve du Bois (Warson Woods),https://www.archstl.org/parish-directory/ste-genevieve-du-bois-warson-woods,314.966.3780,"1575 N. Woodlawn Ave., St. Louis, MO 63122-1462",38.61004,-90.398034
Sts. Joachim and Ann (St. Charles),https://www.archstl.org/parish-directory/sts-joachim-and-ann-st-charles,636.441.7503,"4112 McClay Rd., St. Charles, MO 63304-7918",38.755437,-90.599166
Sts. Mary and Joseph Chapel (St. Louis),https://www.archstl.org/parish-directory/sts-mary-and-joseph-chapel-st-louis,314.481.1133,"C/O 3949 Wilmington Ave., St. Louis, MO 63116-3291",38.581401,-90.268563
Sts. Peter and Paul (St. Louis),https://www.archstl.org/parish-directory/sts-peter-and-paul-st-louis,314.231.9923,"1919 S. Seventh St., St. Louis, MO 63104-4029",38.607295,-90.20301
Sts. Philip & James (River aux Vases),https://www.archstl.org/parish-directory/sts-philip-james-river-aux-vases,573.883.3925,"18411 RAV Church Rd., Ste. Genevieve, MO 63670-9147",37.981442,-90.041779
Sts. Teresa & Bridget (St. Louis),https://www.archstl.org/parish-directory/sts-teresa-bridget-st-louis,314.371.1190,"3636 N. Market St., St. Louis, MO 63113-3606",38.651653,-90.225351
